Make,Model,RecallCount
Toyota,4Runner,120
Toyota,86,4
Toyota,Aurion,0
Toyota,Auris,0
Toyota,Avalon,81
Toyota,Avalon Hybrid,18
Toyota,Avanza,0
Toyota,Avensis,0
Toyota,bZ4X,3
Toyota,C-HR,6
Toyota,Camry,103
Toyota,Camry Hybrid,29
Toyota,Carib,0
Toyota,Carina,0
Toyota,Cavalier,0
Toyota,Celica,7
Toyota,Corolla,145
Toyota,Corolla Cross,6
Toyota,Corolla Cross Hybrid,6
Toyota,Corolla Hatchback,3
Toyota,Corolla Hybrid,7
Toyota,Corolla Verso,0
Toyota,Cressida,0
Toyota,Crown,4
Toyota,Dyna,0
Toyota,Echo,7
Toyota,Etios,0
Toyota,Etios Liva,0
Toyota,FJ Cruiser,66
Toyota,FJ40,0
Toyota,Fortuner,0
Toyota,GR Corolla,2
Toyota,GR Supra,1
Toyota,GR86,3
Toyota,Grand Highlander,2
Toyota,Grand Highlander Hybrid,2
Toyota,Harrier,0
Toyota,Hiace,0
Toyota,Highlander,113
Toyota,Highlander Hybrid,45
Toyota,Hilux,0
Toyota,Innova,0
Toyota,iQ2,0
Toyota,King Cab,0
Toyota,Land Cruiser,52
Toyota,Mark X,0
Toyota,Matrix,27
Toyota,Mirai,3
Toyota,MR2,0
Toyota,Paseo,0
Toyota,Pickup,0
Toyota,Prado,0
Toyota,Premio,0
Toyota,Previa,0
Toyota,Prius,84
Toyota,Prius c,5
Toyota,Prius Plug-in,0
Toyota,Prius Prime,7
Toyota,Prius v,15
Toyota,Raum,0
Toyota,RAV4,130
Toyota,RAV4 EV,9
Toyota,RAV4 Hybrid,11
Toyota,RAV4 Prime,7
Toyota,Scion,0
Toyota,Se,0
Toyota,Sequoia,128
Toyota,Sienna,148
Toyota,Sienna Hybrid,6
Toyota,Solara,0
Toyota,Sprinter,0
Toyota,Supra,12
Toyota,T100,0
Toyota,Tacoma,151
Toyota,Tarago,0
Toyota,Tercel,0
Toyota,Tundra,218
Toyota,Tundra Hybrid,16
Toyota,Van,0
Toyota,Venza,35
Toyota,Verso,0
Toyota,Vitz,0
Toyota,Windom,0
Toyota,Yaris,68
Toyota,Yaris Hatchback,0
Toyota,Yaris Verso,0
